date,mean(¡ÆC),prep(mm),humidity(%),whole_price,retail_price
20160101,1.2,0,73,26000,4125
20160102,5.7,0,76.9,26000,4125
20160103,6.5,0,80.6,26000,4125
20160104,2,0,54.4,26000,4125
20160105,-2.7,0,39.4,26000,4188
20160106,-1.7,0,54.3,28000,4269
20160107,-3.4,0,51.8,25000,4300
20160108,-3.3,0,49.8,24000,4300
20160109,-2.1,0,57.1,24000,4300
20160110,0.3,0,42.3,25000,4435
20160111,-3.8,0,38.3,25000,4435
20160112,-5.2,0,46,25000,4466
20160113,-4.5,0.4,63,27000,4466
20160114,-3.4,0,52.1,25000,4591
20160115,-0.4,0,52.3,26000,4633
20160116,-0.2,0.1,68,26000,4633
20160117,1.7,0,64,27000,4633
20160118,-6.3,0.2,59.8,27000,4633
20160119,-12.8,0,45.9,27000,4501
20160120,-10.5,0,43.6,29000,4501
20160121,-7.1,0,44.3,28000,4301
20160122,-7.6,0,40.5,30000,4323
20160123,-11.5,0,42,30000,4323
20160124,-14.4,0,48.5,32000,4641
20160125,-9.4,0,47.1,32000,4641
20160126,-3.3,0.3,64.5,34000,4641
20160127,-1.1,0,56.3,35000,4735
20160128,-0.5,0,51.5,33000,5404
20160129,1.9,0,43.6,35000,5404
20160130,0.6,0,59.5,35000,5404
20160131,-3.9,0,34,36000,5404
20160201,-6,0,36,36000,5404
20160202,-5.3,0,41.8,36000,5404
20160203,-2.4,0,49.6,36000,5404
20160204,-0.7,0,50.1,37000,5816
20160205,-2.2,0,39.4,37000,5816
20160206,-3.1,0,38.6,37000,5816
20160207,-2.9,0,46.5,37000,5816
20160208,1.3,0,62.1,35000,5816
20160209,0.3,0,52.5,35000,5566
20160210,2.7,0,38.5,35000,5566
20160211,8.1,0.1,29.3,35000,5566
20160212,8.4,18,95.3,33000,5566
20160213,11,21,95,33000,5566
20160214,-2.6,2.5,73.1,34000,5566
20160215,-5.8,0,48.4,34000,5566
20160216,-2.7,0.8,65.6,33000,5566
20160217,0,0,53.9,33000,5670
20160218,3.5,0,66.4,33000,5639
20160219,2.3,0,56.4,32000,5733
20160220,1.3,0,37.1,32000,5733
20160221,-0.6,0,36.4,30000,5733
20160222,1.1,0,36.6,30000,5733
20160223,0.7,0.9,56,30000,5733
20160224,-3,0,42,30000,5754
20160225,-0.2,0,49.9,30000,5254
20160226,2.2,0,41.3,30000,5254
20160227,3.3,0.2,57.6,30000,5254
20160228,0.7,4.1,65.5,30000,5254
20160229,-3.8,0,48.6,30000,5191
20160301,-2.7,0,47.3,33000,5191
20160302,3.1,0,67.9,33000,5191
20160303,8.1,0,65.1,35000,5079
20160304,13.2,0.1,55.3,35000,5141
